Veh 1 normal speed,Veh 1 max speed,Veh 1 min speed,Veh 1 color threshold,Veh 1 distance threshold 1,Veh 1 distance threshold 2,Veh 2 normal speed,Veh 2 max speed,Veh 2 min speed,Veh 2 color threshold,Veh 2 distance threshold 1,Veh 2 distance threshold 2,,,,,,,,,
90,130,80,37,500,600,90,165,80,40,300,330,,,,,,,,,
 Veh 1 color, Veh 1 distance, Veh 1 speed,Veh 1 stop, Veh 1 step, Veh 1 deviation, Veh 1 integral, Veh 1 derivative,Veh 2 color,Veh 2  distance,Veh 2  speed,Veh 2 stop,Veh 2  step,Veh 2  deviation,Veh 2  integral,Veh 2  derivative,Veh 2  frontID,Veh 2  frontTime,Veh 2  frontStep,Veh 2  frontSpeed,Veh 2  frontDistance
19,2265,106,0,0,-18.5,-18.5,4,61,2282,165,0,0,21,48,-6,1,27952,0,104.5,2291
71,2252,106.5,0,0,33.5,0,52,62,2550,165,0,0,22,70,1,1,28108,0,105,2282
72,2230,107,0,0,34.5,34.5,1,67,2550,165,0,0,27,97,5,1,28250,0,105.5,2265
7,2550,107.5,0,0,-30.5,0,-65,70,2154,165,0,0,30,127,3,1,28392,0,106,2252
5,2550,108,0,0,-32.5,-32.5,-2,77,2550,90,0,0,37,164,7,1,28532,0,106.5,2230
66,2550,108.5,0,0,28.5,0,61,75,1145,90,0,0,35,199,-2,1,28672,0,107,2550
67,2550,109,0,0,29.5,29.5,1,84,1119,90,0,0,44,243,9,1,28817,0,107.5,2550
13,2550,109.5,0,0,-24.5,0,-54,85,1093,90,0,0,45,288,1,1,28977,0,108,2550
5,2550,110,0,0,-32.5,-32.5,-8,82,1058,90,0,0,42,330,-3,1,29118,0,108.5,2550
35,2550,110.5,0,0,-2.5,0,30,73,1044,90,0,0,33,363,-9,1,29257,0,109,2550
57,2550,111,0,0,19.5,0,22,80,1052,90,0,0,40,403,7,1,29400,0,109.5,2550
21,2550,111.5,0,0,-16.5,0,-36,6,595,90,0,0,-34,0,-74,1,29542,0,110,2550
6,2550,112,0,0,-31.5,-31.5,-15,8,605,94.5,0,0,-32,-32,2,1,29692,0,110.5,2550
49,2550,112.5,0,0,11.5,0,43,5,559,99.225,0,0,-35,-67,-3,1,29860,0,111,2550
70,2550,113,0,0,32.5,32.5,21,8,574,104.18625,0,0,-32,-99,3,1,30002,0,111.5,2550
24,2550,113.5,0,0,-13.5,0,-46,6,574,109.3955625,0,0,-34,-133,-2,1,30138,0,112,2550
6,2550,114,0,0,-31.5,-31.5,-18,5,758,90,0,0,-35,-168,-1,1,30418,0,113,2550
22,2550,114.5,0,0,-15.5,-47,16,5,2550,90,0,0,-35,-203,0,1,30558,0,113.5,2550
61,2550,115,0,0,23.5,0,39,5,2550,90,0,0,-35,-238,0,1,30710,0,114,2550
