Original Statement,tp,tn,fp,fn,score
"m_27: (v(i=0, t=17)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",691,347,453,67,66.57032755298651
"m_204: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=94)<c(i=0, t=None))",664,334,436,47,66.53306613226452
"m_44: (v(i=0, t=34)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",679,342,448,72,66.50342801175319
"m_28: (v(i=0, t=18)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",689,348,454,66,66.44165863066537
"m_188: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=78)<c(i=0, t=None))",673,341,443,40,66.37080867850098
"m_29: (v(i=0, t=19)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",687,349,455,65,66.31274131274131
"m_203: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=93)<c(i=0, t=None))",662,337,439,44,66.26626626626627
"m_43: (v(i=0, t=33)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",677,345,451,69,66.24266144814091
"m_30: (v(i=0, t=20)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",684,351,457,63,66.08695652173913
"m_189: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=79)<c(i=0, t=None))",669,344,446,37,66.04146100691017
"m_198: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=88)<c(i=0, t=None))",663,341,443,40,66.03585657370517
"m_199: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=89)<c(i=0, t=None))",662,341,443,40,66.00199401794616
"m_202: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=92)<c(i=0, t=None))",660,340,442,41,66.0
"m_197: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=87)<c(i=0, t=None))",663,342,444,39,65.97014925373135
"m_201: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=91)<c(i=0, t=None))",660,341,443,40,65.93406593406593
"m_190: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=80)<c(i=0, t=None))",667,345,447,36,65.9090909090909
"m_196: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=86)<c(i=0, t=None))",663,343,445,38,65.90457256461232
"m_42: (v(i=0, t=32)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",674,349,455,65,65.88465298142717
"m_191: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=81)<c(i=0, t=None))",666,345,447,36,65.8753709198813
"m_200: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=90)<c(i=0, t=None))",660,342,444,39,65.86826347305389
"m_195: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=85)<c(i=0, t=None))",663,344,446,37,65.83912611717975
"m_192: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=82)<c(i=0, t=None))",664,346,448,35,65.74257425742574
"m_31: (v(i=0, t=21)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",679,355,461,59,65.66731141199227
"m_193: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=83)<c(i=0, t=None))",662,347,449,34,65.60951437066403
"m_194: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=84)<c(i=0, t=None))",661,347,449,34,65.57539682539682
"m_41: (v(i=0, t=31)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",671,353,459,61,65.52734375
"m_32: (v(i=0, t=22)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",675,358,464,56,65.34365924491772
"m_34: (v(i=0, t=24)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",672,359,465,55,65.17943743937924
"m_40: (v(i=0, t=30)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",668,357,463,57,65.17073170731707
"m_35: (v(i=0, t=25)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",671,359,465,55,65.14563106796116
"m_33: (v(i=0, t=23)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",672,360,466,54,65.11627906976744
"m_36: (v(i=0, t=26)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",669,360,466,54,65.01457725947522
"m_39: (v(i=0, t=29)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",666,360,466,54,64.91228070175438
"m_37: (v(i=0, t=27)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",667,361,467,53,64.88326848249028
"m_38: (v(i=0, t=28)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",666,361,467,53,64.84907497565725
"m_7: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=10)>=c(i=0, t=None))",274,781,140,370,25.971563981042657
"m_8: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=10)>c(i=0, t=None))",274,781,140,370,25.971563981042657
